x-axis,Min,Avg,Max
0,13.61474,22.76687,48.80151
1,14.81483,27.39258,49.45403
2,15.61255,32.21712,51.16469
3,16.25193,36.66815,51.97031
4,17.10209,41.01183,52.77241
5,17.93681,44.45934,53.07434
6,19.30012,46.90387,53.60302
7,22.92234,48.86355,54.10673
8,28.72886,50.37016,54.28248
9,35.26708,51.4898,54.64425
10,43.82443,52.34995,55.07446
11,47.82506,52.95489,55.40189
12,49.88574,53.49614,56.99485
13,51.15921,53.94181,57.77324
14,51.93837,54.38669,59.04087
15,52.44573,54.8236,60.43762
16,52.88827,55.23755,61.9046
17,53.20643,55.6718,62.92249
18,53.51984,56.13149,63.89724
19,53.94922,56.82782,68.05359
20,54.26551,57.44414,69.67267
21,54.72432,58.29263,73.28603
22,55.15029,59.56006,78.28217
23,55.40462,60.74669,79.50513
24,55.70569,62.39325,81.88763
25,56.1436,64.45147,84.72042
26,56.54525,66.91881,87.49206
27,57.56893,69.89124,90.41251
28,58.36165,72.90825,92.95212
29,60.37381,76.29147,93.61254
30,61.47166,79.58861,95.20377
31,62.78414,82.86164,95.82759
32,64.67707,85.8591,96.635
33,67.56394,88.60071,96.7857
34,72.40232,90.66213,97.16845
35,76.47271,92.44015,97.59925
36,81.33277,93.83192,97.74915
37,84.33253,94.83145,97.89289
38,85.89276,95.41711,97.97079
39,89.24264,95.86859,98.11488
40,90.88502,96.19681,98.20177
41,92.84819,96.47097,98.33012
42,93.91006,96.7028,98.4615
43,94.19388,96.87389,98.49244
44,94.57482,97.03549,98.6071
45,95.10355,97.18797,98.71135
46,95.3747,97.32392,98.82902
47,95.44547,97.45799,98.96626
48,95.64042,97.57466,99.10725
49,95.76434,97.71334,99.22734
50,95.91466,97.83442,99.29323
51,96.10073,97.93695,99.31411
52,96.22237,98.04194,99.35465
53,96.37072,98.14643,99.38853
54,96.54808,98.24628,99.42509
55,96.64179,98.35328,99.50435
56,96.77296,98.45247,99.52672
57,96.88182,98.543,99.59552
58,97.02074,98.6343,99.65514
59,97.10307,98.70618,99.70899
60,97.23946,98.78065,99.71589
61,97.37523,98.84888,99.74177
62,97.48713,98.91163,99.76488
63,97.59862,98.98124,99.77054
64,97.71268,99.04145,99.78775
65,97.79214,99.09635,99.79473
66,97.88241,99.15774,99.80849
67,98.00004,99.21401,99.8591
68,98.11426,99.26286,99.86935
69,98.19474,99.30889,99.88228
70,98.24348,99.35082,99.88389
71,98.30443,99.39962,99.89241
72,98.40451,99.44042,99.89579
73,98.50356,99.48051,99.90844
74,98.65924,99.51883,99.92262
75,98.70247,99.54619,99.92262
76,98.74491,99.57049,99.93143
77,98.81401,99.59451,99.93412
78,98.83807,99.61806,99.94288
79,98.86522,99.6412,99.95156
80,98.91888,99.66439,99.9534
81,98.95565,99.68308,99.95437
82,99.02161,99.70031,99.95437
83,99.06118,99.71556,99.95652
84,99.09391,99.72993,99.95898
85,99.1083,99.7435,99.9594
86,99.15115,99.75774,99.96209
87,99.17803,99.77,99.96461
88,99.21115,99.78186,99.96833
89,99.25835,99.79383,99.97012
90,99.30754,99.80463,99.97129
91,99.34934,99.81252,99.97245
92,99.37306,99.81917,99.97245
93,99.39724,99.82509,99.97333
94,99.41062,99.83165,99.97391
95,99.41961,99.83741,99.9743
96,99.43653,99.84532,99.9752
97,99.47308,99.85186,99.97596
98,99.49658,99.85973,99.97694
99,99.50768,99.86422,99.97708
