x-axis,Min,Avg,Max
0,0.01404,0.03689,0.07575
1,0.01302,0.0335,0.07537
2,0.01038,0.02958,0.073
3,0.0089,0.0258,0.07311
4,0.00754,0.02185,0.06596
5,0.00651,0.0188,0.0674
6,0.00545,0.01624,0.06074
7,0.00573,0.01404,0.0529
8,0.00541,0.01219,0.04066
9,0.00498,0.01088,0.03046
10,0.00461,0.01002,0.02199
11,0.0043,0.00945,0.01705
12,0.00423,0.00909,0.01446
13,0.00456,0.00897,0.01372
14,0.00437,0.00887,0.01381
15,0.00424,0.00876,0.01355
16,0.00413,0.00872,0.01366
17,0.00409,0.00862,0.01384
18,0.00415,0.00853,0.01374
19,0.00417,0.00854,0.01378
20,0.00412,0.00857,0.01431
21,0.00411,0.00856,0.01428
22,0.00394,0.00854,0.01444
23,0.00388,0.00868,0.01458
24,0.0039,0.00878,0.0159
25,0.00415,0.00889,0.01619
26,0.004,0.00903,0.01698
27,0.00389,0.00905,0.01719
28,0.00379,0.00906,0.0171
29,0.00383,0.0092,0.01786
30,0.00356,0.00915,0.01683
31,0.00343,0.00916,0.01723
32,0.00352,0.00923,0.01765
33,0.00368,0.00917,0.01785
34,0.00355,0.00895,0.0162
35,0.0034,0.0087,0.01567
36,0.00361,0.00855,0.01456
37,0.00343,0.00848,0.01412
38,0.00366,0.0084,0.01396
39,0.0038,0.00834,0.0133
40,0.00374,0.00823,0.01332
41,0.00406,0.00822,0.013
42,0.0042,0.00816,0.0127
43,0.00424,0.00822,0.01273
44,0.0043,0.00822,0.01266
45,0.00425,0.00817,0.0124
46,0.00431,0.00815,0.01232
47,0.00435,0.00814,0.01215
48,0.00442,0.0081,0.01218
49,0.00442,0.00812,0.01212
50,0.00445,0.00806,0.012
51,0.00446,0.00808,0.01199
52,0.00443,0.00805,0.01185
53,0.00454,0.00807,0.01193
54,0.00455,0.00804,0.01186
55,0.0045,0.00803,0.01178
56,0.00459,0.00807,0.01175
57,0.00471,0.00806,0.01169
58,0.0048,0.0081,0.01172
59,0.00483,0.0081,0.01156
60,0.00485,0.0081,0.01137
61,0.00492,0.00807,0.01136
62,0.00497,0.00807,0.0112
63,0.00503,0.00806,0.01117
64,0.00505,0.00805,0.01117
65,0.00501,0.00806,0.01112
66,0.00508,0.00804,0.01092
67,0.005,0.00804,0.01089
68,0.00515,0.00808,0.0109
69,0.00527,0.00813,0.01107
70,0.00529,0.00812,0.01104
71,0.00532,0.00808,0.01097
72,0.00537,0.00807,0.01095
73,0.00552,0.00804,0.0108
74,0.00553,0.00802,0.01072
75,0.00556,0.00801,0.01065
76,0.00551,0.00801,0.01064
77,0.00568,0.00802,0.01064
78,0.0057,0.00803,0.01058
79,0.0057,0.00801,0.01052
80,0.00573,0.00802,0.01055
81,0.00583,0.00801,0.01053
82,0.00583,0.00801,0.01045
83,0.00589,0.00802,0.01041
84,0.00597,0.00801,0.01038
85,0.00604,0.008,0.01027
86,0.006,0.00799,0.01014
87,0.00618,0.00799,0.01008
88,0.00616,0.00799,0.01008
89,0.00617,0.00798,0.01001
90,0.00612,0.00798,0.00998
91,0.00621,0.00798,0.00994
92,0.00625,0.00798,0.00992
93,0.00628,0.00799,0.00993
94,0.00631,0.008,0.00992
95,0.00635,0.00799,0.00991
96,0.00639,0.008,0.00987
97,0.0064,0.008,0.00978
98,0.00644,0.00801,0.00968
99,0.00639,0.00801,0.00966
