x-axis,Min,Avg,Max
0,13.70119,22.65477,48.41021
1,14.5265,27.36149,48.42428
2,15.06548,33.37027,48.4762
3,16.37147,38.67034,48.53356
4,18.86282,42.40202,48.63177
5,26.07668,45.1342,48.98978
6,34.20766,46.84618,49.12893
7,40.31533,47.85706,49.29112
8,44.85123,48.36553,49.63274
9,46.51648,48.65601,49.80953
10,47.67141,48.88927,49.85544
11,48.16668,49.09035,49.96427
12,48.38716,49.29832,50.04971
13,48.59833,49.51128,50.15362
14,48.74327,49.67323,50.20599
15,49.09723,49.81226,50.3628
16,49.23754,49.92676,50.47794
17,49.5446,50.0461,50.63396
18,49.67626,50.14964,50.68347
19,49.83185,50.25901,50.81159
20,49.90425,50.37117,50.90866
21,50.00625,50.48155,50.97353
22,50.11298,50.58418,51.03136
23,50.18241,50.68828,51.12384
24,50.34269,50.79083,51.19495
25,50.41408,50.88046,51.2511
26,50.48753,50.96656,51.32038
27,50.67521,51.03752,51.40973
28,50.82648,51.11506,51.4835
29,50.90389,51.18628,51.54419
30,50.94073,51.25799,51.5951
31,51.00153,51.33183,51.64148
32,51.06534,51.40016,51.68204
33,51.17145,51.47119,51.71939
34,51.22161,51.53039,51.77574
35,51.2919,51.58391,51.8276
36,51.3425,51.63477,51.86939
37,51.45561,51.68485,51.90284
38,51.5032,51.73195,51.94863
39,51.56466,51.77647,51.99492
40,51.62703,51.82142,52.04857
41,51.67284,51.86434,52.10463
42,51.7023,51.90663,52.1284
43,51.75001,51.95029,52.15298
44,51.79518,51.99614,52.18918
45,51.83453,52.03933,52.23733
46,51.87859,52.08023,52.26667
47,51.90225,52.12077,52.30445
48,51.95705,52.16052,52.35634
49,52.00741,52.20146,52.40132
50,52.06653,52.24027,52.43466
51,52.10439,52.27914,52.47262
52,52.1347,52.31888,52.51137
53,52.16551,52.36098,52.54336
54,52.20795,52.40203,52.58349
55,52.24865,52.44028,52.64009
56,52.29832,52.4799,52.68053
57,52.3482,52.51707,52.70665
58,52.37166,52.55439,52.73372
59,52.41679,52.59257,52.77111
60,52.45354,52.62951,52.8118
61,52.50211,52.66732,52.85179
62,52.53719,52.7024,52.88361
63,52.57545,52.73906,52.91545
64,52.59831,52.7753,52.95392
65,52.63185,52.81298,52.98668
66,52.67412,52.84786,53.01911
67,52.70819,52.88403,53.07775
68,52.74933,52.91889,53.096
69,52.78713,52.95512,53.13889
70,52.82393,52.99067,53.17375
71,52.85728,53.02648,53.20859
72,52.88992,53.06242,53.2552
73,52.93526,53.10046,53.29441
74,52.97188,53.13699,53.33843
75,52.99084,53.1763,53.36655
76,53.04049,53.21399,53.4005
77,53.06961,53.25413,53.43136
78,53.11172,53.29355,53.47576
79,53.14621,53.33181,53.51233
80,53.193,53.36565,53.53809
81,53.2334,53.40289,53.59237
82,53.26787,53.43814,53.62066
83,53.30799,53.47408,53.65946
84,53.34023,53.50867,53.68521
85,53.36963,53.54565,53.71392
86,53.40581,53.57974,53.75128
87,53.43916,53.61472,53.78656
88,53.4643,53.65123,53.82214
89,53.5066,53.68438,53.85345
90,53.53989,53.71886,53.8879
91,53.58186,53.75261,53.91964
92,53.62325,53.78656,53.95896
93,53.64596,53.82101,54.00336
94,53.69289,53.85447,54.03413
95,53.73716,53.88717,54.06556
96,53.76152,53.9231,54.11126
97,53.78353,53.95851,54.13121
98,53.82515,53.99405,54.17126
99,53.85743,54.0288,54.20851
