x-axis,Min,Avg,Max
0,0.52199,0.54682,0.56871
1,0.52446,0.54718,0.56693
2,0.52704,0.54883,0.56625
3,0.52901,0.55,0.56515
4,0.53328,0.55096,0.56411
5,0.53512,0.55126,0.56254
6,0.53982,0.55143,0.56199
7,0.54191,0.55138,0.56059
8,0.54448,0.55125,0.55892
9,0.54689,0.55113,0.55681
10,0.54781,0.55108,0.55487
11,0.54779,0.55091,0.55449
12,0.54773,0.55079,0.5542
13,0.54767,0.55056,0.55417
14,0.54776,0.5504,0.55372
15,0.54761,0.55021,0.55281
16,0.54762,0.55024,0.55289
17,0.5476,0.55019,0.55284
18,0.54742,0.5501,0.55252
19,0.54733,0.54999,0.55217
20,0.54718,0.54987,0.55216
21,0.54701,0.54972,0.55214
22,0.54685,0.54949,0.55196
23,0.54694,0.54936,0.55184
24,0.54668,0.54914,0.55128
25,0.54676,0.54905,0.55125
26,0.54657,0.5489,0.55102
27,0.54666,0.54875,0.55084
28,0.54642,0.54856,0.55073
29,0.54608,0.54844,0.55052
30,0.54575,0.54823,0.55038
31,0.54555,0.54805,0.55021
32,0.54537,0.54788,0.55004
33,0.54532,0.54771,0.54983
34,0.54509,0.54754,0.54965
35,0.54466,0.54734,0.54939
36,0.54439,0.54712,0.54893
37,0.54419,0.54684,0.5488
38,0.54422,0.5466,0.54839
39,0.54393,0.54634,0.54814
40,0.54379,0.54608,0.54786
41,0.54358,0.54581,0.54767
42,0.54343,0.54554,0.54745
43,0.54307,0.54528,0.54725
44,0.5429,0.54497,0.54685
45,0.54267,0.54465,0.54652
46,0.54248,0.54434,0.5462
47,0.54224,0.54405,0.54601
48,0.54181,0.54378,0.54579
49,0.54173,0.54349,0.54525
50,0.54146,0.54322,0.54499
51,0.54125,0.54298,0.54472
52,0.54096,0.54272,0.54447
53,0.54071,0.54244,0.54422
54,0.54044,0.54217,0.54383
55,0.54009,0.54189,0.54371
56,0.53983,0.54162,0.54332
57,0.53964,0.54133,0.54299
58,0.53934,0.54105,0.54275
59,0.53908,0.54076,0.5424
60,0.5388,0.54047,0.54211
61,0.53849,0.54018,0.54179
62,0.53823,0.53992,0.54143
63,0.53809,0.53964,0.54116
64,0.5377,0.53935,0.54091
65,0.53748,0.53907,0.54069
66,0.53719,0.5388,0.54039
67,0.53679,0.53851,0.54004
68,0.53663,0.53823,0.5397
69,0.53628,0.53797,0.53942
70,0.53599,0.53771,0.53915
71,0.53582,0.53744,0.53887
72,0.53544,0.53717,0.53862
73,0.53519,0.53687,0.53843
74,0.53484,0.53659,0.53804
75,0.5346,0.53628,0.53793
76,0.5343,0.53598,0.53761
77,0.53412,0.53568,0.53733
78,0.53371,0.53538,0.53695
79,0.53353,0.53507,0.53679
80,0.53324,0.53479,0.53635
81,0.53294,0.53449,0.53597
82,0.53267,0.53422,0.53566
83,0.53236,0.53393,0.53543
84,0.53208,0.53366,0.53517
85,0.53178,0.53338,0.53492
86,0.53155,0.53311,0.5346
87,0.53129,0.53284,0.5343
88,0.531,0.53254,0.53413
89,0.53081,0.5323,0.53377
90,0.5306,0.53203,0.53357
91,0.53011,0.53178,0.53323
92,0.52996,0.53153,0.53292
93,0.52961,0.53128,0.53271
94,0.52927,0.53101,0.53244
95,0.52904,0.53076,0.53214
96,0.52873,0.53047,0.53189
97,0.52862,0.53017,0.53173
98,0.52831,0.52988,0.53137
99,0.52794,0.5296,0.53118
