Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
98,99.99105,0.70175,0.44994,0.00814
Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
2,4,4,5,2
5,3,1,6,2
8,2,1,8,6
9,8,1,7,6
8,4,2,5,7
4,3,6,11,8
3,5,6,4,5
2,6,4,2,7
5,1,9,6,6
2,1,10,9,2
7,1,6,2,2
7,10,1,1,9
6,7,1,1,5
10,6,1,1,2
2,4,8,10,11
2,2,10,2,6
7,4,4,6,6
6,4,5,2,7
3,6,3,8,7
3,10,1,10,9
4,7,1,3,10
2,9,1,7,5
3,7,9,1,8
10,8,2,1,7
10,9,10,1,4
8,11,7,9,6
5,2,9,8,8
9,2,9,4,3
8,9,11,2,11
3,10,3,8,2
6,5,6,9,6
5,6,6,8,4
6,4,5,8,8
4,1,4,10,5
3,1,6,6,6
9,1,7,9,5
9,5,2,2,2
7,9,11,6,9
3,8,10,1,8
11,2,9,1,9
6,7,8,1,5
2,7,6,10,4
5,4,3,4,5
4,3,10,3,6
10,8,9,5,11
9,8,4,3,10
4,5,5,10,8
2,4,3,9,8
5,5,6,9,5
8,5,9,6,2
10,4,11,10,2
2,5,7,7,11
7,2,10,10,7
7,7,10,9,3
9,6,9,7,4
5,8,8,4,3
9,9,8,3,8
4,4,3,10,11
9,5,3,10,7
5,7,8,11,8
9,5,7,8,3
4,4,3,3,3
5,4,3,7,4
8,3,9,10,2
7,5,1,10,2
2,4,1,7,8
2,3,1,7,10
6,9,6,3,5
5,9,3,9,4
10,7,10,8,4
7,8,4,2,9
9,8,2,2,3
5,3,5,8,5
7,6,7,6,2
4,4,10,11,11
11,5,10,1,6
2,8,4,1,5
4,2,4,1,3
7,9,7,7,6
8,10,8,10,4
3,4,4,6,7
4,8,6,5,4
3,2,5,5,11
10,5,5,8,6
9,2,10,2,8
10,6,8,3,2
6,6,8,4,2
,2,6,4,4
,3,10,9,4
,7,11,9,9
,10,4,5,5
,,10,8,6
,,9,4,8
,,7,4,
,,4,8,
,,8,1,
,,2,1,
,,6,1,
,,10,4,
,,4,,
,,2,,
,,2,,
,,10,,
