x-axis,Min,Avg,Max
0,14.26656,23.08954,48.97885
1,14.9578,29.58032,50.73385
2,15.59728,36.0233,52.15835
3,16.19995,39.7917,52.15835
4,19.03636,44.77876,52.30281
5,19.03636,47.23934,54.2149
6,26.574,48.8254,54.2149
7,42.86404,50.75171,54.2149
8,45.63125,51.80523,54.58149
9,49.2395,52.37216,54.58149
10,51.09163,52.93127,55.78154
11,51.09163,53.26102,56.04796
12,51.1798,53.64137,56.04796
13,52.05844,54.03612,56.04796
14,52.5202,54.45337,56.79643
15,52.76708,54.82625,57.73247
16,53.05189,55.16555,57.73247
17,53.11607,56.01272,81.15693
18,53.649,56.48401,81.15693
19,54.67266,56.89889,81.15693
20,54.75825,57.35408,81.15693
21,55.20704,58.01753,81.15693
22,55.20704,58.97716,91.51537
23,55.84513,60.17037,91.51537
24,55.9556,62.10902,93.33734
25,55.9556,64.64888,93.33734
26,55.9556,68.839,95.46201
27,56.49066,73.30169,95.46201
28,56.93768,76.8353,96.90381
29,57.23736,83.03143,96.90381
30,58.24619,87.96316,97.36668
31,69.03529,92.44056,97.36668
32,71.01108,93.35021,97.81873
33,80.98166,94.4402,98.30197
34,84.80909,95.15418,98.30197
35,93.05016,95.79572,98.45511
36,93.37694,96.00659,98.45511
37,93.37694,96.23764,98.45511
38,93.91749,96.56217,98.45511
39,93.99466,96.70752,98.45511
40,93.99466,96.94265,98.45511
41,93.99466,97.18057,98.45511
42,95.65076,97.43706,98.64995
43,95.65254,97.63164,99.3277
44,95.65254,97.76584,99.3277
45,95.65254,97.89399,99.43509
46,95.65254,97.99297,99.43509
47,95.65254,98.1661,99.43509
48,95.65254,98.25252,99.43509
49,97.06743,98.332,99.43509
50,97.06743,98.4909,99.93655
51,97.06743,98.62924,99.93655
52,97.06743,98.65736,99.93655
53,97.06743,98.7178,99.93655
54,97.15227,98.79732,99.93655
55,97.15227,98.84706,99.93655
56,97.15227,98.91407,99.93655
57,97.52454,99.02335,99.93655
58,97.52454,99.08738,99.93655
59,97.52454,99.15021,99.93655
60,97.52454,99.1859,99.93655
61,97.52454,99.24194,99.93655
62,97.52454,99.26355,99.93655
63,97.52454,99.29791,99.93655
64,97.98668,99.35047,99.93655
65,97.98668,99.40322,99.93655
66,97.98668,99.46011,99.93655
67,98.9144,99.50412,99.93655
68,98.9144,99.52731,99.93655
69,98.9144,99.55153,99.93655
70,98.96299,99.58801,99.95947
71,98.96299,99.61409,99.95947
72,99.19015,99.65865,99.95947
73,99.20331,99.66043,99.95947
74,99.20331,99.69941,99.95947
75,99.20331,99.70732,99.95947
76,99.20331,99.71837,99.95947
77,99.20331,99.72294,99.95947
78,99.20331,99.72843,99.95947
79,99.20331,99.74118,99.95947
80,99.35695,99.75795,99.9603
81,99.43432,99.76205,99.9603
82,99.43432,99.76893,99.9603
83,99.43432,99.78601,99.96127
84,99.43432,99.78795,99.96127
85,99.43432,99.79296,99.96127
86,99.43432,99.79982,99.96127
87,99.52432,99.81154,99.96127
88,99.52432,99.82021,99.96127
89,99.52432,99.82246,99.97749
90,99.52432,99.82832,99.97749
91,99.54432,99.83847,99.97749
92,99.54432,99.85426,99.97749
93,99.54432,99.8654,99.97749
94,99.54432,99.87075,99.97749
95,99.54432,99.871,99.97749
96,99.54432,99.87442,99.97749
97,99.54432,99.87677,99.97749
98,99.54432,99.88354,99.99105
99,99.54432,99.88913,99.99105
