x-axis,Min,Avg,Max
0,2.53277,4.61829,7.18471
1,2.11299,4.49452,9.88457
2,2.11299,4.24677,7.03584
3,2.11299,4.37682,7.94252
4,2.11299,4.72112,8.69571
5,2.11299,4.53574,7.67906
6,2.39198,4.71509,8.51186
7,2.39337,4.57367,7.25561
8,2.39337,4.51015,7.25561
9,2.39337,4.35164,6.91223
10,2.28207,4.14262,6.91223
11,2.14959,3.93949,6.20736
12,2.14959,3.91246,7.00008
13,1.17963,3.55503,5.57677
14,1.17963,3.21442,5.57677
15,1.17963,2.9665,4.3547
16,1.17963,3.03247,4.24135
17,0.94207,2.90142,4.70832
18,0.94207,2.65118,4.20484
19,0.94207,2.38397,3.73938
20,0.94207,2.32254,3.73938
21,0.94207,2.20666,3.67179
22,0.71123,2.07893,3.41452
23,0.71123,1.90535,3.10948
24,0.71123,1.78627,3.47988
25,0.71123,1.69473,3.10948
26,0.62564,1.58083,3.10948
27,0.62564,1.32108,2.86585
28,0.61351,1.19323,2.86585
29,0.50118,0.99506,2.86585
30,0.48416,0.80575,1.45275
31,0.48416,0.72073,1.00504
32,0.52249,0.71251,0.95814
33,0.52249,0.69925,0.96329
34,0.57891,0.68918,0.81877
35,0.57891,0.68935,0.76886
36,0.61072,0.69086,0.7904
37,0.61265,0.70118,0.7904
38,0.60562,0.69938,0.78434
39,0.60562,0.69893,0.82229
40,0.60562,0.69509,0.80144
41,0.60562,0.69735,0.80144
42,0.60562,0.69111,0.79775
43,0.60562,0.69492,0.79775
44,0.60562,0.69038,0.78039
45,0.60559,0.68752,0.78039
46,0.60559,0.68635,0.76211
47,0.60562,0.68602,0.76211
48,0.60562,0.68673,0.76211
49,0.60562,0.68727,0.76211
50,0.60716,0.69003,0.76211
51,0.60835,0.68961,0.76211
52,0.63668,0.69461,0.76211
53,0.63668,0.69263,0.76211
54,0.63668,0.69649,0.76211
55,0.63668,0.6945,0.76211
56,0.63668,0.69482,0.76211
57,0.64033,0.69728,0.7632
58,0.64033,0.69726,0.7632
59,0.63025,0.69858,0.7632
60,0.63025,0.69546,0.7632
61,0.63025,0.69571,0.76211
62,0.63025,0.69551,0.77994
63,0.63025,0.69179,0.77994
64,0.63025,0.68783,0.77994
65,0.65052,0.6937,0.77994
66,0.65052,0.69685,0.77994
67,0.66086,0.69455,0.74641
68,0.66086,0.69478,0.74641
69,0.66086,0.69338,0.74641
70,0.66086,0.69387,0.74641
71,0.66086,0.69368,0.74641
72,0.66086,0.69524,0.74641
73,0.66086,0.69347,0.74641
74,0.66086,0.69174,0.73393
75,0.66086,0.69154,0.73393
76,0.66086,0.6922,0.73393
77,0.66086,0.69321,0.73393
78,0.66086,0.69333,0.73393
79,0.66086,0.69425,0.73393
80,0.66086,0.69297,0.73393
81,0.66086,0.695,0.73393
82,0.66086,0.69451,0.73393
83,0.66086,0.69621,0.73393
84,0.66086,0.69553,0.73393
85,0.66086,0.69546,0.73393
86,0.66086,0.69557,0.73393
87,0.66086,0.69501,0.72291
88,0.66086,0.69511,0.71694
89,0.66086,0.69586,0.71694
90,0.66086,0.69525,0.71694
91,0.66086,0.69644,0.71969
92,0.66086,0.69617,0.71969
93,0.67814,0.6968,0.71694
94,0.67814,0.69679,0.71694
95,0.67814,0.6968,0.71694
96,0.67814,0.69725,0.71694
97,0.67814,0.69739,0.71694
98,0.67814,0.69758,0.71694
99,0.6787,0.69839,0.71694
