x-axis,Min,Avg,Max
0,0.01398,0.03607,0.07235
1,0.01382,0.03086,0.07587
2,0.01076,0.02603,0.06415
3,0.01076,0.02305,0.06415
4,0.00891,0.01846,0.0567
5,0.00891,0.01601,0.0567
6,0.00545,0.01351,0.02889
7,0.00545,0.01158,0.02057
8,0.00545,0.01024,0.01818
9,0.00415,0.0092,0.01427
10,0.0038,0.00864,0.01322
11,0.00365,0.00909,0.0138
12,0.00475,0.00914,0.01389
13,0.00574,0.00897,0.01552
14,0.00364,0.0089,0.01552
15,0.0046,0.009,0.01552
16,0.00491,0.00849,0.01552
17,0.00304,0.00782,0.01552
18,0.00304,0.00792,0.01254
19,0.00471,0.00842,0.01254
20,0.00491,0.00849,0.0128
21,0.005,0.00869,0.01186
22,0.005,0.00891,0.01525
23,0.00553,0.00906,0.01525
24,0.00509,0.00947,0.01862
25,0.00509,0.00934,0.01862
26,0.00509,0.00959,0.01868
27,0.00336,0.00983,0.01868
28,0.00334,0.0096,0.01615
29,0.00334,0.01009,0.02037
30,0.00349,0.0108,0.02037
31,0.00349,0.01056,0.02157
32,0.00349,0.00994,0.02157
33,0.00349,0.00971,0.02024
34,0.00486,0.00987,0.02024
35,0.0042,0.00912,0.01544
36,0.0042,0.00862,0.01482
37,0.0042,0.00862,0.01482
38,0.00386,0.0086,0.01482
39,0.00425,0.00888,0.01482
40,0.00425,0.00896,0.01482
41,0.00425,0.00873,0.01482
42,0.00425,0.00832,0.01241
43,0.00425,0.00863,0.01241
44,0.00507,0.00854,0.01176
45,0.00506,0.00836,0.01176
46,0.00506,0.00848,0.01303
47,0.00465,0.0085,0.01303
48,0.00433,0.00832,0.01303
49,0.00433,0.00828,0.01303
50,0.00433,0.00827,0.01215
51,0.00433,0.00836,0.0118
52,0.00433,0.00848,0.0118
53,0.00476,0.00846,0.0118
54,0.00438,0.0083,0.01189
55,0.00438,0.0081,0.01189
56,0.00438,0.00785,0.01189
57,0.00438,0.00776,0.01102
58,0.00438,0.00762,0.01097
59,0.00438,0.00754,0.01097
60,0.00438,0.00773,0.01097
61,0.00547,0.00798,0.01097
62,0.00556,0.0078,0.01097
63,0.00556,0.00791,0.01097
64,0.00572,0.00809,0.01097
65,0.00572,0.00808,0.01097
66,0.00567,0.00804,0.01097
67,0.00537,0.00796,0.01097
68,0.00537,0.00787,0.01086
69,0.00537,0.00787,0.01058
70,0.00537,0.00802,0.01058
71,0.00537,0.00802,0.01058
72,0.00537,0.00785,0.01058
73,0.00537,0.00792,0.01058
74,0.00537,0.00788,0.01058
75,0.00537,0.00792,0.01058
76,0.00537,0.00791,0.01058
77,0.00537,0.00798,0.01058
78,0.00537,0.00799,0.01058
79,0.00537,0.00802,0.01058
80,0.00537,0.00809,0.01058
81,0.00537,0.00801,0.01058
82,0.00537,0.00803,0.01058
83,0.00537,0.00793,0.01043
84,0.00537,0.00794,0.01043
85,0.00537,0.00797,0.01043
86,0.00565,0.00799,0.01043
87,0.00565,0.00804,0.01043
88,0.00565,0.00799,0.01043
89,0.00565,0.00801,0.01043
90,0.00565,0.00801,0.01043
91,0.00628,0.00812,0.01043
92,0.00641,0.00815,0.01001
93,0.00641,0.00816,0.01001
94,0.00641,0.0082,0.01001
95,0.00641,0.0082,0.01001
96,0.00641,0.00823,0.01001
97,0.00641,0.00823,0.01001
98,0.00641,0.00822,0.01001
99,0.00641,0.00821,0.01001
