Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
96,99.98826,0.70432,0.45001,0.00832
Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
5,10,9,6,6
10,4,11,1,3
6,7,5,1,3
5,7,7,1,7
4,5,9,10,4
6,8,9,8,5
9,6,5,5,2
4,4,8,2,11
7,4,4,4,4
3,10,5,6,10
9,8,8,11,5
7,2,8,5,3
2,2,11,3,3
11,8,6,7,10
3,2,2,6,3
2,2,9,4,8
10,4,9,6,4
11,7,10,8,7
3,4,8,7,5
5,5,8,9,2
1,5,9,3,8
1,10,6,4,8
1,7,4,4,9
8,3,10,11,5
8,10,10,5,5
4,10,7,5,6
6,4,9,6,4
6,1,7,9,3
3,1,7,8,8
6,1,9,2,7
3,8,5,8,7
11,3,7,9,3
6,4,2,1,8
4,4,8,1,5
8,7,9,1,2
2,10,2,9,8
3,9,7,7,3
10,2,8,7,9
2,7,11,5,5
5,9,9,9,5
10,3,7,8,6
10,2,2,4,8
6,5,2,2,3
4,6,3,4,4
5,2,10,9,6
5,7,6,9,6
8,2,4,7,9
2,7,4,4,1
8,5,3,8,1
5,10,3,9,1
3,8,10,6,9
4,7,4,9,7
4,7,1,9,3
3,2,1,6,3
8,4,1,2,8
10,9,6,8,8
4,10,11,7,6
4,10,4,6,4
5,6,7,4,5
8,10,5,4,5
4,2,10,5,2
10,3,5,3,9
5,11,5,6,9
8,4,9,8,11
11,3,3,10,2
4,6,6,4,10
6,8,11,9,5
5,3,3,10,3
4,2,10,10,3
8,7,3,5,8
7,8,5,4,2
3,3,11,1,5
9,10,1,1,2
6,8,1,1,4
7,2,1,5,3
10,7,8,6,10
2,6,8,9,4
7,3,2,3,6
5,9,7,5,3
6,3,8,9,9
2,6,10,7,5
8,6,6,5,6
7,2,2,10,6
1,5,10,1,7
1,5,7,1,10
1,2,10,1,5
,2,6,9,3
,,2,10,2
,,7,5,9
,,3,8,4
,,11,9,11
,,4,3,7
,,5,9,5
,,3,10,4
,,4,5,8
,,5,1,9
,,3,1,9
,,2,1,2
,,,6,
,,,6,
,,,7,
,,,9,
,,,10,
