Seed,Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
0,87,99.96503,0.70131,0.4498,0.0076
1,98,99.96783,0.70821,0.44997,0.00752
2,98,99.94406,0.701,0.44959,0.00827
3,97,99.98435,0.69679,0.44999,0.00755
4,84,99.94524,0.69636,0.45,0.00891
5,96,99.98881,0.70627,0.44999,0.00782
6,91,99.9556,0.69352,0.44974,0.00776
7,87,99.97237,0.6988,0.44992,0.00747
8,94,99.96427,0.69523,0.45025,0.00797
9,78,99.99193,0.70043,0.45004,0.00778
10,90,99.98644,0.69217,0.44999,0.00792
11,95,99.959,0.68617,0.45002,0.00797
12,99,99.98302,0.70738,0.44995,0.00804
13,94,99.98904,0.69957,0.44991,0.00797
14,99,99.96606,0.70153,0.44994,0.00865
15,85,99.99022,0.69531,0.45001,0.00773
16,97,99.97915,0.70287,0.44988,0.00773
17,93,99.97668,0.69829,0.44985,0.00825
18,95,99.99534,0.70217,0.45,0.00824
19,91,99.99328,0.69994,0.45005,0.00803
20,79,99.98861,0.70003,0.44998,0.00838
21,94,99.98634,0.69536,0.45003,0.00771
22,97,99.99108,0.70286,0.44994,0.00794
23,88,99.97878,0.69303,0.44994,0.00775
24,98,99.98224,0.6957,0.45001,0.00845
25,91,99.97983,0.69943,0.45006,0.00756
26,89,99.94798,0.69801,0.44959,0.0079
27,96,99.98615,0.69896,0.44993,0.00826
28,84,99.98554,0.69757,0.45004,0.00836
29,96,99.98826,0.70432,0.45001,0.00832
