x-axis,Min,Avg,Max
0,1.94364,4.56127,8.34533
1,1.90966,4.50826,8.2139
2,1.99365,4.53455,8.24913
3,2.01018,4.63858,8.58647
4,2.13355,4.70959,8.70079
5,2.08832,4.74816,8.57264
6,2.18352,4.79674,8.52813
7,2.11517,4.80132,8.47016
8,2.10208,4.7153,8.51613
9,2.14382,4.55433,8.38541
10,1.9836,4.36869,7.99639
11,1.95962,4.19108,7.66738
12,1.86149,3.94268,7.38683
13,1.7562,3.71584,6.65109
14,1.64494,3.53261,6.25511
15,1.60458,3.33946,5.92774
16,1.48075,3.18273,5.82195
17,1.37662,3.02812,5.53991
18,1.3186,2.87458,5.35357
19,1.21257,2.69526,5.00715
20,1.15842,2.53599,4.76753
21,1.0544,2.37025,4.42159
22,0.97167,2.23193,4.2726
23,0.94728,2.07407,4.05367
24,0.89296,1.93792,3.79612
25,0.83178,1.78407,3.46653
26,0.76997,1.63926,3.31515
27,0.73116,1.49237,3.07487
28,0.67647,1.37177,2.88457
29,0.63297,1.24365,2.6949
30,0.59289,1.12824,2.56556
31,0.58193,1.02021,2.21524
32,0.55844,0.93823,2.03993
33,0.56132,0.86465,1.76588
34,0.56981,0.8068,1.46156
35,0.57007,0.76481,1.27136
36,0.56786,0.73419,1.13512
37,0.57866,0.71757,1.04448
38,0.59012,0.70878,0.97247
39,0.59129,0.70215,0.88864
40,0.59488,0.69847,0.8497
41,0.60702,0.69695,0.83168
42,0.60925,0.69501,0.78885
43,0.61244,0.69647,0.78758
44,0.61399,0.69565,0.78009
45,0.61456,0.69513,0.77672
46,0.615,0.69492,0.77462
47,0.61625,0.69437,0.7717
48,0.61841,0.69349,0.77095
49,0.61844,0.69271,0.76603
50,0.61904,0.69298,0.76605
51,0.61686,0.69246,0.76632
52,0.62436,0.69327,0.7686
53,0.62461,0.6943,0.76698
54,0.62347,0.694,0.76441
55,0.62393,0.69336,0.76423
56,0.62707,0.69373,0.76544
57,0.62959,0.69367,0.7634
58,0.63284,0.69402,0.75909
59,0.63127,0.69458,0.7595
60,0.63151,0.69521,0.75987
61,0.63233,0.69591,0.75765
62,0.63262,0.69626,0.75524
63,0.63589,0.69664,0.75396
64,0.63721,0.69757,0.75427
65,0.63831,0.69808,0.75326
66,0.64195,0.69842,0.75171
67,0.64377,0.69841,0.75165
68,0.64517,0.69842,0.75122
69,0.64786,0.6989,0.75276
70,0.64984,0.69885,0.75186
71,0.65083,0.69858,0.7513
72,0.65029,0.69805,0.74784
73,0.6498,0.69806,0.74851
74,0.65254,0.69809,0.74731
75,0.65294,0.69847,0.74574
76,0.65259,0.69863,0.74542
77,0.65213,0.6984,0.74391
78,0.65449,0.69875,0.74219
79,0.65525,0.69899,0.74138
80,0.65466,0.69925,0.74117
81,0.65652,0.69917,0.74066
82,0.65771,0.69918,0.73937
83,0.65806,0.69929,0.73919
84,0.65934,0.6996,0.73803
85,0.66131,0.69984,0.73709
86,0.66271,0.69967,0.73609
87,0.6634,0.6996,0.73542
88,0.66467,0.69972,0.73489
89,0.66567,0.69983,0.73468
90,0.66756,0.69976,0.73368
91,0.66681,0.69954,0.73352
92,0.66831,0.69969,0.73282
93,0.66853,0.69966,0.73262
94,0.669,0.69972,0.73175
95,0.67093,0.6999,0.73108
96,0.67114,0.69985,0.73106
97,0.67233,0.69999,0.73109
98,0.67341,0.69979,0.72984
99,0.67382,0.69975,0.72917
