x-axis,Min,Avg,Max
0,0.52422,0.54736,0.56967
1,0.52142,0.54541,0.56908
2,0.52149,0.54504,0.56833
3,0.52023,0.54531,0.56926
4,0.51999,0.54582,0.56886
5,0.51978,0.54583,0.56889
6,0.51939,0.54543,0.56824
7,0.51833,0.544,0.56678
8,0.51873,0.5421,0.56343
9,0.5184,0.53988,0.56133
10,0.51775,0.53735,0.55901
11,0.51483,0.53466,0.55528
12,0.51059,0.5314,0.55252
13,0.50905,0.52845,0.5481
14,0.50609,0.52539,0.54357
15,0.50429,0.52231,0.54014
16,0.50055,0.51931,0.53687
17,0.49807,0.51662,0.53469
18,0.49674,0.5139,0.53241
19,0.49327,0.51105,0.52871
20,0.49097,0.50859,0.52662
21,0.48899,0.50588,0.52315
22,0.48629,0.50319,0.52009
23,0.48362,0.50065,0.51823
24,0.48043,0.49834,0.51537
25,0.47868,0.49583,0.51289
26,0.475,0.49367,0.51158
27,0.47432,0.49187,0.50966
28,0.47258,0.49012,0.50733
29,0.47127,0.48855,0.50559
30,0.46993,0.48694,0.50345
31,0.46859,0.48539,0.5024
32,0.46698,0.4841,0.50176
33,0.46552,0.48276,0.50058
34,0.4652,0.48169,0.49911
35,0.46263,0.48025,0.49727
36,0.46145,0.47873,0.49591
37,0.46018,0.4775,0.49498
38,0.45918,0.47635,0.49441
39,0.45846,0.47519,0.49266
40,0.45825,0.47384,0.49141
41,0.45747,0.47248,0.48944
42,0.45669,0.47132,0.4885
43,0.45636,0.47017,0.48718
44,0.45525,0.46905,0.48557
45,0.4551,0.46808,0.48427
46,0.45414,0.46713,0.48331
47,0.4533,0.46625,0.48259
48,0.45256,0.46535,0.48174
49,0.45196,0.46434,0.4799
50,0.45111,0.46342,0.47812
51,0.45054,0.46256,0.47684
52,0.44979,0.46183,0.47611
53,0.44952,0.46101,0.47477
54,0.44857,0.46025,0.47377
55,0.44822,0.45942,0.47274
56,0.44773,0.45872,0.47208
57,0.44791,0.45812,0.47081
58,0.44735,0.45747,0.46978
59,0.44659,0.45688,0.4692
60,0.44673,0.45635,0.46856
61,0.44638,0.4559,0.4683
62,0.44594,0.4554,0.46731
63,0.44605,0.45494,0.46666
64,0.44575,0.45448,0.46553
65,0.44593,0.45418,0.46508
66,0.4459,0.45384,0.46402
67,0.44621,0.45351,0.46338
68,0.44597,0.45312,0.46252
69,0.4458,0.45276,0.46176
70,0.44607,0.45248,0.46128
71,0.44607,0.45217,0.46071
72,0.44622,0.45191,0.46028
73,0.44641,0.45163,0.45945
74,0.44631,0.45142,0.45871
75,0.44632,0.45127,0.45834
76,0.44659,0.45113,0.45809
77,0.44654,0.451,0.45759
78,0.44647,0.45091,0.4574
79,0.44644,0.45078,0.45662
80,0.44643,0.45065,0.45601
81,0.44652,0.45058,0.45587
82,0.44667,0.45054,0.4556
83,0.44699,0.4505,0.45533
84,0.44728,0.45047,0.45512
85,0.44733,0.45044,0.45511
86,0.44749,0.45039,0.45473
87,0.44756,0.45033,0.45463
88,0.4476,0.45028,0.45424
89,0.44764,0.45024,0.45397
90,0.44771,0.45021,0.45354
91,0.44765,0.45018,0.45323
92,0.44771,0.45017,0.45314
93,0.44763,0.45017,0.45297
94,0.44765,0.45016,0.45296
95,0.44766,0.45015,0.45293
96,0.44778,0.45014,0.45291
97,0.44787,0.45013,0.45278
98,0.44795,0.45013,0.45269
99,0.44804,0.45011,0.45269
