Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
99,52.99732,2.38972,0.53838,0.00826
Reel 1,Reel 2,Reel 3,Reel 4,Reel 5
1,10,2,9,2
1,3,8,2,6
1,7,8,2,7
5,8,10,1,7
3,9,11,1,4
10,6,8,1,3
6,8,8,8,10
10,4,3,8,10
10,4,8,2,9
9,6,10,4,1
11,1,4,5,1
8,1,3,5,1
1,1,6,3,4
1,6,2,10,1
1,2,2,8,1
5,2,6,8,1
5,10,5,9,7
11,11,8,9,5
1,8,8,7,1
1,6,7,5,1
1,7,4,3,1
10,4,3,3,6
10,4,10,10,6
1,3,6,10,7
1,3,6,1,9
1,2,8,1,7
3,2,7,1,7
4,11,4,4,4
5,8,4,4,5
6,10,6,6,5
6,6,8,9,2
10,6,5,11,3
8,3,7,5,2
9,3,7,5,2
3,6,5,9,3
7,11,2,9,9
5,10,4,7,10
5,9,4,11,3
3,4,2,2,2
6,3,2,3,4
6,11,6,4,5
10,1,6,11,5
4,1,10,9,1
2,1,8,1,1
2,7,7,1,1
6,7,6,1,8
3,10,5,8,3
9,11,8,8,2
10,9,10,11,2
10,1,10,9,4
8,1,5,2,4
8,1,9,2,3
7,7,8,10,3
7,3,4,1,7
4,3,6,1,4
8,6,1,1,4
5,1,1,6,8
8,1,1,6,6
8,1,6,3,2
7,1,4,3,6
7,1,10,6,4
5,2,3,6,6
9,11,7,7,7
3,6,2,4,11
9,6,5,8,7
9,7,5,3,6
5,8,4,9,2
5,6,1,4,2
10,3,1,4,3
8,6,1,2,10
1,8,10,2,9
1,5,10,6,7
1,3,7,6,1
2,4,7,10,1
6,11,4,4,1
1,2,6,5,4
1,2,8,8,2
1,10,6,8,6
4,4,6,1,6
4,5,8,1,4
1,5,8,1,7
1,7,11,3,11
1,7,5,2,4
9,11,5,1,2
10,1,3,1,9
2,1,2,1,9
10,1,6,10,7
7,9,5,10,1
2,4,5,1,1
10,9,6,1,1
7,6,4,1,2
3,9,2,6,2
3,11,3,7,5
1,4,10,11,5
1,3,5,6,9
1,7,8,2,9
3,7,8,5,10
10,8,5,7,10
6,9,5,2,6
6,8,8,6,9
3,8,2,9,9
8,3,4,3,1
1,3,2,5,1
1,4,2,7,1
1,7,4,2,6
9,3,7,4,5
1,4,7,1,4
1,9,6,1,9
1,1,5,1,6
6,1,3,5,7
6,1,3,5,7
8,6,6,1,10
8,9,4,1,3
11,8,6,1,10
6,5,5,9,9
4,5,5,3,4
4,10,6,3,6
2,11,2,11,9
3,10,9,9,5
9,6,9,1,9
5,8,7,1,9
5,8,,1,5
8,3,,10,6
4,2,,2,10
3,6,,2,4
3,5,,1,
5,3,,1,
9,3,,1,
6,,,2,
6,,,6,
4,,,6,
9,,,3,
9,,,8,
4,,,11,
8,,,10,
4,,,8,
4,,,5,
3,,,5,
