Seed,Generation,Fitness,RTP,Symbol Diversity,Bonus Frequency
0,97,52.97882,4.92129,0.53794,0.00911
1,99,53.0767,6.34283,0.53761,0.00858
2,98,53.09694,6.57017,0.53757,0.0083
3,99,52.88357,4.89532,0.53933,0.00796
4,99,54.48938,4.63856,0.52395,0.01022
5,99,54.02331,3.55416,0.5297,0.00897
6,96,55.23802,3.66415,0.51734,0.01047
7,99,55.40136,2.69856,0.51908,0.00784
8,98,55.21328,3.73477,0.5203,0.00879
9,99,55.24161,3.86331,0.5199,0.00897
10,99,54.45862,5.66773,0.52664,0.00776
11,99,53.9219,3.4784,0.53004,0.00937
12,99,54.77814,4.67112,0.524,0.00845
13,96,53.96118,5.47941,0.53046,0.00865
14,98,52.52517,8.38539,0.54203,0.00859
15,99,52.96798,4.95609,0.53682,0.00991
16,99,54.1307,4.33023,0.52905,0.00872
17,98,52.95169,6.67382,0.53813,0.00914
18,98,54.36018,3.90339,0.52744,0.00821
19,97,55.93954,2.77382,0.51315,0.0098
20,98,56.27497,3.16205,0.5117,0.00886
21,99,52.99732,2.38972,0.53838,0.00826
22,99,54.17879,7.85897,0.52888,0.00771
23,99,53.62261,6.34604,0.53245,0.00937
24,99,55.18438,3.94672,0.52006,0.00925
25,99,53.64211,3.86699,0.53289,0.00882
26,98,55.82071,4.16019,0.51571,0.0082
27,99,53.10266,7.91274,0.5373,0.00873
28,98,54.5119,4.75434,0.52591,0.00882
29,99,55.28171,4.92331,0.51876,0.00961
