x-axis,Min,Avg,Max
0,1.9683,4.53983,8.28198
1,2.32585,4.61282,7.99901
2,2.4132,4.69931,7.47271
3,2.53455,4.78002,7.2445
4,2.88405,4.89663,7.13445
5,3.07197,5.01052,6.993
6,3.37736,5.03345,6.87771
7,3.54094,5.06716,6.71168
8,3.9283,5.0898,6.39167
9,4.28975,5.13722,6.09302
10,4.54356,5.20414,6.01429
11,4.69047,5.22205,5.95059
12,4.75452,5.22365,5.79457
13,4.76582,5.22428,5.79381
14,4.78845,5.22507,5.77334
15,4.82036,5.24552,5.6148
16,4.82927,5.28152,5.63578
17,4.86007,5.29891,5.58994
18,4.85569,5.31378,5.61946
19,4.84318,5.31588,5.61149
20,4.85515,5.30931,5.63849
21,4.8667,5.30749,5.66108
22,4.84725,5.29638,5.61884
23,4.98442,5.30699,5.642
24,5.02238,5.31337,5.63425
25,5.03783,5.33052,5.64872
26,5.04769,5.33619,5.62875
27,5.04456,5.34357,5.64353
28,5.04338,5.34752,5.64111
29,5.01095,5.35621,5.64979
30,5.01128,5.35986,5.63055
31,4.98124,5.35686,5.62212
32,4.96161,5.34961,5.62598
33,4.95843,5.34951,5.6426
34,4.99227,5.34814,5.6456
35,4.96992,5.33632,5.64951
36,4.99552,5.32968,5.63411
37,4.98035,5.3204,5.6197
38,5.03014,5.32115,5.58029
39,5.02464,5.31655,5.5794
40,5.02377,5.31101,5.55361
41,5.03345,5.29904,5.54568
42,5.03242,5.2906,5.49515
43,4.9984,5.27897,5.49163
44,4.9712,5.27305,5.49328
45,4.97874,5.26584,5.47334
46,4.95211,5.26056,5.48178
47,4.95417,5.25462,5.49348
48,4.94612,5.24397,5.47144
49,4.94999,5.23712,5.46851
50,4.93714,5.22224,5.47546
51,4.90878,5.20663,5.46936
52,4.91355,5.19768,5.43857
53,4.89378,5.19365,5.45299
54,4.90443,5.19533,5.43634
55,4.88855,5.18801,5.4324
56,4.86196,5.18843,5.44182
57,4.81324,5.17831,5.44063
58,4.80125,5.17276,5.43516
59,4.80883,5.16843,5.43807
60,4.79677,5.15502,5.42977
61,4.79515,5.14416,5.42632
62,4.78843,5.13535,5.41649
63,4.78613,5.12648,5.41224
64,4.79283,5.12087,5.37903
65,4.79906,5.11794,5.39135
66,4.79585,5.11289,5.38143
67,4.78359,5.1004,5.385
68,4.76725,5.09322,5.36563
69,4.75177,5.07786,5.33638
70,4.74885,5.06799,5.35347
71,4.72983,5.051,5.34604
72,4.71636,5.03967,5.35129
73,4.70589,5.02647,5.31492
74,4.6977,5.02417,5.26109
75,4.68432,5.01559,5.27532
76,4.67354,5.00466,5.27265
77,4.66275,4.99463,5.27936
78,4.65535,4.98166,5.24704
79,4.68377,4.97297,5.24729
80,4.64313,4.95976,5.2381
81,4.66684,4.9563,5.19315
82,4.65237,4.94782,5.20123
83,4.65044,4.94957,5.18207
84,4.6538,4.94674,5.15555
85,4.61728,4.94766,5.19984
86,4.63252,4.93831,5.20151
87,4.61265,4.92954,5.17125
88,4.58309,4.9212,5.17379
89,4.60907,4.91618,5.16637
90,4.61757,4.9029,5.1444
91,4.58961,4.89123,5.14541
92,4.56988,4.88485,5.12145
93,4.55025,4.87569,5.11672
94,4.54963,4.87466,5.10792
95,4.55653,4.86947,5.11725
96,4.53056,4.86496,5.10448
97,4.5009,4.8511,5.09009
98,4.49572,4.84533,5.07296
99,4.47715,4.84094,5.06913
