x-axis,Min,Avg,Max
0,0.01382,0.03718,0.07494
1,0.01382,0.0328,0.06772
2,0.01376,0.02668,0.05937
3,0.01372,0.02242,0.05399
4,0.01358,0.01933,0.04337
5,0.01312,0.01703,0.0344
6,0.01291,0.01549,0.02542
7,0.0129,0.01457,0.0209
8,0.01248,0.01409,0.01777
9,0.01237,0.01378,0.01619
10,0.01222,0.0135,0.01485
11,0.01206,0.01328,0.01439
12,0.01182,0.01305,0.01416
13,0.01174,0.01282,0.01399
14,0.01155,0.01262,0.01382
15,0.01132,0.01245,0.01359
16,0.01111,0.01228,0.01332
17,0.01077,0.0121,0.01309
18,0.01076,0.01195,0.01294
19,0.01064,0.01179,0.01274
20,0.01051,0.01163,0.01261
21,0.01041,0.01147,0.01251
22,0.01025,0.01132,0.01243
23,0.01006,0.01117,0.01228
24,0.00993,0.01103,0.01208
25,0.00979,0.01087,0.01204
26,0.00968,0.01073,0.0119
27,0.00949,0.01062,0.01156
28,0.00941,0.0105,0.01136
29,0.00934,0.01037,0.01129
30,0.00917,0.01027,0.01129
31,0.00912,0.01015,0.01117
32,0.00897,0.01004,0.01112
33,0.0089,0.00992,0.01101
34,0.00883,0.00982,0.01093
35,0.00881,0.00973,0.01086
36,0.00874,0.00966,0.01073
37,0.00864,0.00964,0.01057
38,0.00875,0.00961,0.01051
39,0.00869,0.00958,0.01055
40,0.00867,0.00954,0.01051
41,0.00871,0.00953,0.01046
42,0.00865,0.00949,0.01038
43,0.00856,0.00946,0.01033
44,0.0085,0.00945,0.01018
45,0.00858,0.00945,0.01021
46,0.00855,0.00946,0.0102
47,0.00849,0.00945,0.01016
48,0.00842,0.00942,0.01016
49,0.00842,0.00942,0.01007
50,0.00843,0.00939,0.00997
51,0.00834,0.00937,0.00993
52,0.00834,0.00933,0.0099
53,0.00826,0.0093,0.00994
54,0.0083,0.00926,0.00993
55,0.00825,0.00925,0.00987
56,0.00836,0.00922,0.00983
57,0.00832,0.0092,0.00983
58,0.00834,0.0092,0.0099
59,0.00836,0.00919,0.00988
60,0.0084,0.00917,0.00982
61,0.00825,0.00916,0.00979
62,0.00826,0.00914,0.00973
63,0.00828,0.00912,0.00971
64,0.00831,0.00912,0.0097
65,0.00829,0.00911,0.00969
66,0.00824,0.00911,0.00969
67,0.00825,0.00911,0.00975
68,0.00821,0.00911,0.00974
69,0.00836,0.00909,0.00978
70,0.0085,0.00908,0.00972
71,0.00836,0.00906,0.00972
72,0.00843,0.00906,0.00974
73,0.00841,0.00906,0.00963
74,0.0084,0.00906,0.00966
75,0.00834,0.00905,0.00969
76,0.00839,0.00905,0.00966
77,0.00838,0.00904,0.00959
78,0.0084,0.00903,0.00958
79,0.00821,0.00903,0.00955
80,0.00823,0.00904,0.0096
81,0.00818,0.00904,0.00962
82,0.00816,0.00903,0.00961
83,0.00827,0.00903,0.00959
84,0.00827,0.00901,0.00954
85,0.00823,0.009,0.00962
86,0.00819,0.00899,0.00963
87,0.00822,0.00898,0.00958
88,0.00826,0.00898,0.00969
89,0.00818,0.00895,0.00962
90,0.00823,0.00893,0.00955
91,0.00814,0.0089,0.00964
92,0.0081,0.00887,0.00955
93,0.00813,0.00884,0.00953
94,0.00804,0.00883,0.0096
95,0.00807,0.00881,0.0096
96,0.00804,0.00881,0.00954
97,0.00813,0.00883,0.0095
98,0.0082,0.00883,0.00957
99,0.00815,0.00881,0.00955
