x-axis,Min,Avg,Max
0,0.52123,0.5473,0.56632
1,0.52123,0.54616,0.57351
2,0.52123,0.54369,0.56678
3,0.5189,0.54417,0.57199
4,0.52203,0.54492,0.56632
5,0.52203,0.54449,0.56632
6,0.52618,0.54508,0.56632
7,0.52618,0.54407,0.56061
8,0.52558,0.54158,0.5567
9,0.52558,0.53989,0.56007
10,0.51443,0.53597,0.55368
11,0.51383,0.53225,0.55368
12,0.49851,0.52997,0.54956
13,0.49492,0.52705,0.54379
14,0.49492,0.5235,0.54225
15,0.49492,0.52051,0.53749
16,0.49492,0.5187,0.53467
17,0.49492,0.51577,0.53742
18,0.48777,0.51168,0.53317
19,0.48777,0.50883,0.52212
20,0.48777,0.50622,0.52054
21,0.48395,0.50171,0.51941
22,0.48012,0.49942,0.51941
23,0.48012,0.49775,0.51383
24,0.47533,0.49527,0.51233
25,0.47533,0.49439,0.51233
26,0.47067,0.49317,0.51233
27,0.47067,0.49035,0.50634
28,0.46856,0.48767,0.50527
29,0.46759,0.4859,0.50578
30,0.46265,0.48407,0.50578
31,0.45837,0.48077,0.50578
32,0.46265,0.48003,0.50094
33,0.45774,0.47796,0.50094
34,0.45774,0.47649,0.50094
35,0.45774,0.47538,0.48909
36,0.45774,0.47503,0.48909
37,0.45528,0.47404,0.48909
38,0.45524,0.47174,0.48618
39,0.45524,0.47017,0.48618
40,0.45524,0.46887,0.48618
41,0.45524,0.46668,0.48618
42,0.45524,0.46563,0.48156
43,0.45079,0.46432,0.48156
44,0.44514,0.46365,0.48156
45,0.44514,0.46244,0.48156
46,0.45074,0.46188,0.48156
47,0.44856,0.46076,0.48156
48,0.44856,0.46043,0.48156
49,0.4472,0.45916,0.47325
50,0.44274,0.45781,0.47325
51,0.44274,0.45697,0.47325
52,0.44274,0.45677,0.47325
53,0.44274,0.45661,0.47325
54,0.44274,0.456,0.46874
55,0.44634,0.45568,0.46874
56,0.44634,0.45505,0.46874
57,0.44634,0.45446,0.46874
58,0.44634,0.45406,0.46874
59,0.44727,0.45368,0.46874
60,0.44559,0.45348,0.46874
61,0.44559,0.45303,0.46874
62,0.44559,0.45277,0.46874
63,0.44559,0.45219,0.46874
64,0.44559,0.45159,0.46404
65,0.44559,0.45132,0.46404
66,0.44559,0.4509,0.45587
67,0.44192,0.45051,0.45587
68,0.44192,0.45036,0.45587
69,0.44192,0.45025,0.45587
70,0.44559,0.45011,0.45587
71,0.44559,0.45017,0.45587
72,0.44559,0.44996,0.45504
73,0.44559,0.45006,0.45528
74,0.44643,0.4502,0.45528
75,0.44727,0.45022,0.45528
76,0.44746,0.45028,0.45528
77,0.44746,0.45025,0.45528
78,0.44746,0.45021,0.45528
79,0.44746,0.45018,0.45528
80,0.44746,0.45015,0.4526
81,0.44746,0.45015,0.4526
82,0.44746,0.45008,0.4526
83,0.44746,0.45004,0.4526
84,0.44746,0.45,0.45256
85,0.4478,0.45004,0.45256
86,0.4478,0.45003,0.45256
87,0.44762,0.44991,0.45256
88,0.44762,0.45004,0.45256
89,0.44836,0.45014,0.45265
90,0.44837,0.45017,0.45265
91,0.44837,0.45018,0.45265
92,0.44837,0.4502,0.45265
93,0.44837,0.45024,0.45265
94,0.44837,0.4502,0.45265
95,0.44837,0.45021,0.45265
96,0.44837,0.45021,0.45265
97,0.44837,0.45015,0.45265
98,0.44837,0.45014,0.45177
99,0.44837,0.45013,0.45177
